Id,org,tld,ccs,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label,day,month,hour
14660,sbi,co.in,0,text/plain,0,0,0,0,57,680,0,Mon,Nov,17.25
14661,send,grammarly.com,0,multipart/alternative,35,119,1,0,27,160865,3,Mon,Aug,16.483333333333334
14662,github,com,1,multipart/alternative,2,13,0,0,61,2374,2,Thu,Dec,9.35
14663,iiitd,ac.in,0,multipart/alternative,0,0,1,0,26,1672,2,Wed,Oct,23.5
14664,ieee,org,0,text/html,1,13,0,0,54,20665,0,Wed,Jun,14.216666666666667
14665,usebackpack,com,0,multipart/alternative,4,19,0,0,33,26830,0,Tue,Jul,5.65
14666,google,com,0,multipart/alternative,29,108,0,1,108,110091,0,Thu,Aug,19.65
14667,google,com,0,text/html,2,12,0,0,40,4244,0,Thu,Jun,3.2333333333333334
14668,mp1,tripadvisor.com,0,text/html,11,43,0,0,99,75039,3,Fri,May,11.683333333333334
14669,ieee,org,0,multipart/alternative,4,13,0,0,92,3211,3,Wed,Dec,17.566666666666666
14670,iiitd,ac.in,3,multipart/alternative,0,0,1,0,64,5675,2,Thu,Oct,16.083333333333332
14671,iiitd,ac.in,2,multipart/mixed,0,1,1,0,62,1242,2,Tue,Jan,4.783333333333333
14672,iiitd,ac.in,1,text/plain,0,0,0,0,8,214,2,Sun,Apr,9.1
14673,arya,ai,0,multipart/alternative,5,28,0,1,91,47948,3,Wed,May,14.866666666666667
14674,iiitd,ac.in,0,multipart/alternative,0,0,1,0,12,995,2,Sat,Jul,23.983333333333334
14675,iiitd,ac.in,4,multipart/mixed,0,6,0,0,17,56666,2,Thu,Aug,9.3
14676,iiitd,ac.in,0,multipart/alternative,0,0,1,1,30,869,2,Wed,Oct,9.816666666666666
14677,iiitd,ac.in,2,multipart/alternative,0,0,1,0,47,1933,2,Sun,Nov,8.583333333333334
14678,linkedin,com,0,multipart/alternative,4,26,0,0,45,20240,1,Tue,Sep,11.6
14679,na,na,0,text/html,0,2,1,0,70,13457,0,Mon,May,8.533333333333333
14680,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,14.9
14681,digital,findstay.in,0,multipart/alternative,1,10,0,0,37,3174,0,Thu,Sep,14.083333333333334
14682,topcoder,com,0,multipart/alternative,8,63,1,0,71,50010,0,Fri,Jan,23.066666666666666
14683,google,com,0,text/html,4,20,0,0,35,6586,0,Sun,Apr,0.7666666666666667
14684,quora,com,0,multipart/alternative,2,14,0,0,65,10652,0,Mon,Dec,19.683333333333334
14685,quora,com,0,multipart/alternative,12,116,1,0,74,119935,3,Thu,Nov,2.55
14686,google,com,0,text/html,20,84,0,0,37,24898,0,Sat,Dec,4.616666666666667
14687,usebackpack,com,0,multipart/alternative,4,24,0,0,38,27957,0,Thu,Nov,15.366666666666667
14688,datacamp,com,0,multipart/alternative,16,51,0,1,29,58018,3,Wed,Mar,14.35
14689,twitter,com,0,multipart/alternative,29,200,0,1,219,93761,1,Wed,Jul,8.533333333333333
14690,iiitd,ac.in,3,multipart/alternative,0,13,1,0,33,29077,2,Thu,Feb,11.083333333333334
14691,iiitd,ac.in,2,multipart/alternative,0,9,1,0,50,16446,2,Wed,Mar,17.433333333333334
14692,centralesupelec,fr,0,multipart/mixed,0,8,0,0,180,963065,2,Tue,Dec,15.083333333333334
14693,iiitd,ac.in,2,multipart/mixed,0,0,0,0,29,74455,2,Thu,Nov,15.133333333333333
14694,e,linkedin.com,0,multipart/mixed,0,0,0,0,51,4,1,Wed,Jan,19.25
14695,researchgatemail,net,0,multipart/alternative,4,30,1,1,40,27867,1,Fri,Aug,5.033333333333333
14696,quora,com,0,multipart/alternative,12,112,0,1,76,103003,1,Mon,May,11.083333333333334
14697,redwolf,in,0,multipart/alternative,4,20,0,0,82,4961,3,Tue,Aug,13.583333333333334
14698,mails,travel-makemytrip.com,0,multipart/alternative,13,43,0,0,49,15687,3,Thu,Sep,17.483333333333334
14699,iiitd,ac.in,0,multipart/mixed,0,0,0,0,79,765174,2,Fri,Sep,10.35
14700,quora,com,0,multipart/alternative,12,114,0,0,147,102429,1,Sat,Aug,21.033333333333335
14701,m,mail.coursera.org,0,multipart/alternative,25,120,0,0,28,79681,0,Tue,Dec,3.5
14702,na,na,0,multipart/mixed,1,6,1,0,51,13360,0,Tue,Sep,15.35
14703,ieee,org,0,text/plain,0,7,0,0,45,3295,0,Thu,Dec,10.766666666666667
14704,coursera,org,0,multipart/alternative,4,31,0,0,35,26546,0,Thu,Sep,15.533333333333333
14705,iiitd,ac.in,1,multipart/alternative,0,16,1,0,33,8298,2,Sun,Sep,15.233333333333333
14706,iiitd,ac.in,3,multipart/alternative,0,3,1,0,34,3289,2,Tue,Jun,12.566666666666666
14707,iiitd,ac.in,154,multipart/alternative,0,4,1,0,29,22981,2,Tue,May,17.1
14708,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,10.3
14709,iiitd,ac.in,0,multipart/alternative,0,5,1,0,59,8989,2,Wed,Aug,11.9
14710,iiitd,ac.in,2,multipart/related,0,10,1,0,66,8369846,2,Wed,Feb,19.883333333333333
14711,google,com,0,text/plain,0,0,1,0,91,1028,0,Tue,May,10.216666666666667
14712,linkedin,com,0,multipart/alternative,17,69,0,1,97,77993,1,Wed,Oct,20.116666666666667
14713,flipkartletters,com,0,multipart/alternative,36,94,1,0,68,59827,3,Sun,Dec,1.4166666666666667
14714,usebackpack,com,0,multipart/alternative,4,19,0,0,36,26921,0,Thu,Mar,6.85
14715,news,foodpanda.in,0,multipart/alternative,10,41,0,0,70,44877,3,Fri,Aug,1.35
14716,usebackpack,com,0,multipart/alternative,4,19,0,0,39,27016,0,Sat,Sep,2.4166666666666665
14717,mail,goodreads.com,0,multipart/mixed,0,0,0,0,15,4,1,Fri,Jul,9.133333333333333
14718,quora,com,0,multipart/alternative,6,14,0,0,63,12936,0,Thu,Mar,12.0
14719,magento,com,0,multipart/alternative,4,19,0,0,25,20626,3,Wed,Sep,23.5
14720,iiitd,ac.in,0,multipart/alternative,0,3,1,0,39,4162,2,Fri,Apr,21.183333333333334
14721,centralesupelec,fr,0,text/plain,0,2,1,0,14,863,2,Sun,Mar,21.35
14722,splitwise,com,0,multipart/alternative,3,19,0,0,21,23899,0,Wed,Jul,6.583333333333333
14723,researchgatemail,net,0,multipart/alternative,3,20,0,0,37,14512,1,Wed,Apr,15.716666666666667
14724,codecademy,com,0,multipart/alternative,5,35,0,0,96,38511,3,Mon,Sep,12.666666666666666
14725,twitter,com,0,multipart/alternative,36,196,0,0,87,103585,1,Mon,Oct,8.95
14726,sbi,co.in,0,text/plain,0,0,0,0,57,680,0,Wed,Jan,16.866666666666667
14727,iiitd,ac.in,3,multipart/alternative,0,0,1,0,27,47797,2,Fri,Mar,9.6
14728,trm,brassring.com,0,multipart/alternative,0,4,1,0,45,4953,0,Mon,May,13.183333333333334
14729,iiitd,ac.in,3,multipart/alternative,0,0,0,0,23,2657,2,Sat,Jul,12.816666666666666
14730,dominos,co.in,0,text/html,5,22,1,0,30,12840,0,Sun,Jun,18.233333333333334
14731,iiitd,ac.in,7,multipart/alternative,1,1,1,0,144,14802,2,Mon,Jun,10.183333333333334
14732,google,com,0,multipart/alternative,1,12,0,0,50,4125,0,Wed,Feb,11.616666666666667
14733,usebackpack,com,0,multipart/alternative,4,19,0,0,36,26957,0,Wed,Mar,2.1166666666666667
14734,symless,com,0,multipart/alternative,17,47,1,0,86,55322,3,Wed,Sep,15.7
14735,iiitd,ac.in,4,multipart/alternative,0,1,1,0,22,2358,2,Thu,Sep,15.15
14736,google,com,0,text/html,20,84,0,0,38,24607,0,Mon,Jul,6.833333333333333
14737,na,na,0,multipart/alternative,30,163,0,0,39,91611,0,Wed,Nov,21.033333333333335
14738,dropbox,com,1,multipart/alternative,2,15,0,0,55,6717,0,Tue,Nov,18.2
14739,usebackpack,com,0,multipart/alternative,4,17,0,0,36,30655,0,Tue,Jul,10.416666666666666
14740,autodesk,com,0,text/html,6,12,0,0,39,8251,0,,Jul,10.266666666666667
14741,iiitd,ac.in,3,multipart/alternative,2,2,1,0,67,10472,2,Tue,Jul,17.233333333333334
14742,linkedin,com,0,multipart/alternative,3,36,0,0,29,24518,1,Fri,Dec,4.5
14743,iiitd,ac.in,0,multipart/alternative,0,3,0,0,41,1396,0,Sat,Jan,9.666666666666666
14744,medium,com,0,multipart/alternative,24,182,1,1,92,82745,3,Wed,Apr,6.333333333333333
14745,google,com,0,text/html,6,28,1,0,37,9097,0,Tue,Mar,4.266666666666667
14746,amazon,in,0,multipart/mixed,0,0,0,0,31,4,3,Sat,Jul,2.6833333333333336
14747,send,grammarly.com,0,multipart/alternative,7,36,0,0,55,21059,3,Sun,Aug,6.866666666666667
14748,linkedin,com,0,multipart/alternative,11,28,0,0,50,25524,1,Mon,Feb,9.066666666666666
14749,centralesupelec,fr,0,multipart/alternative,0,3,0,0,220,32158,2,Wed,Mar,11.133333333333333
14750,m,mail.coursera.org,0,multipart/alternative,16,69,0,1,107,46745,3,Fri,Feb,4.35
14751,interviewbit,com,0,multipart/alternative,0,17,1,0,51,11315,0,Mon,Jul,13.1
14752,github,com,0,text/plain,0,3,0,0,59,907,0,Fri,Apr,12.333333333333334
14753,olacabs,com,1,multipart/alternative,14,30,0,0,44,30936,0,Thu,Apr,17.266666666666666
14754,researchgate,net,0,multipart/alternative,7,73,0,1,30,40064,1,Tue,Nov,7.766666666666667
14755,newsgram,hp.com,0,multipart/alternative,14,51,0,0,82,25331,3,Wed,Sep,22.6
14756,deeplearning,ai,0,multipart/alternative,11,64,1,1,142,68544,0,Wed,May,18.216666666666665
14757,iiitd,ac.in,1,multipart/alternative,6,68,0,0,86,28114,0,Tue,Jan,15.55
14758,accountprotection,microsoft.com,0,multipart/alternative,0,4,0,0,32,3674,0,Thu,Jun,12.933333333333334
14759,dropboxmail,com,1,multipart/alternative,8,41,0,0,54,18129,0,Mon,Jul,18.65
14760,iiitd,ac.in,2,multipart/alternative,0,3,1,0,72,2605,2,Tue,Feb,12.883333333333333
14761,iiitd,ac.in,0,multipart/alternative,0,19,1,0,37,12741,2,Fri,Mar,18.316666666666666
14762,bookmyforex,com,0,multipart/alternative,13,52,1,0,60,64344,3,Fri,Mar,12.5
14763,iiitd,ac.in,1,multipart/alternative,0,9,1,1,41,12909,2,Wed,Nov,15.583333333333334
14764,iiitd,ac.in,6,multipart/alternative,2,34,1,0,57,24608,2,Sun,Feb,22.616666666666667
14765,udacity,com,0,multipart/alternative,14,44,0,0,53,64715,3,Fri,Feb,13.416666666666666
14766,linkedin,com,0,multipart/alternative,17,70,0,1,130,82119,1,Tue,Feb,23.166666666666668
14767,github,com,1,multipart/alternative,0,35,0,0,48,6346,2,Thu,Jun,14.533333333333333
14768,na,na,0,multipart/alternative,6,46,0,0,82,15780,0,Wed,Oct,9.583333333333334
14769,iiitd,ac.in,3,multipart/alternative,0,0,1,1,33,13710,2,Wed,Nov,14.05
14770,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,14.933333333333334
14771,github,com,1,multipart/alternative,0,10,0,0,49,2285,2,Tue,Jun,13.9
14772,usebackpack,com,0,multipart/alternative,4,19,0,0,37,26952,0,Sun,Jan,16.883333333333333
14773,reply,ebay.in,0,multipart/alternative,37,134,0,0,58,86784,3,Wed,Nov,10.666666666666666
14774,pbmail,payback.in,0,multipart/alternative,23,66,0,0,56,38158,3,Mon,Oct,13.666666666666666
14775,doodle,com,0,multipart/alternative,4,12,0,0,13,10558,0,Tue,Jan,5.466666666666667
14776,linkedin,com,0,multipart/alternative,4,25,0,1,45,21797,1,Sat,Aug,6.283333333333333
14777,iiitd,ac.in,0,multipart/alternative,1,22,1,0,33,25885,2,Fri,Aug,11.666666666666666
14778,topcoder,com,0,multipart/alternative,39,130,0,0,43,129855,3,Sat,Nov,3.066666666666667
14779,na,na,0,multipart/alternative,2,34,0,0,60,11328,0,Sat,Mar,9.15
14780,flipkartletters,com,0,text/html,10,33,0,0,84,26594,3,Thu,Sep,14.666666666666666
14781,quora,com,0,multipart/alternative,14,108,1,1,134,99420,1,Tue,Oct,9.1
14782,kotak,in,0,multipart/alternative,17,33,1,0,62,34900,0,Thu,Nov,15.15
14783,kotak,in,0,text/html,0,17,1,1,62,8979,3,Mon,Jun,11.916666666666666
14784,explore,pinterest.com,0,multipart/alternative,21,61,0,0,20,64683,1,Sun,Dec,13.866666666666667
14785,crm,jabong.com,0,text/html,0,6,0,0,30,2099,0,Sat,Jun,9.583333333333334
14786,iiitd,ac.in,2,multipart/alternative,0,5,0,0,68,2063,2,Wed,Oct,13.95
14787,iiitd,ac.in,2,multipart/alternative,0,0,1,0,38,2809,2,Sun,Mar,22.833333333333332
14788,tnt,fr,0,multipart/alternative,1,3,0,0,63,2072,0,Mon,Nov,11.8
14789,youtube,com,0,multipart/alternative,14,57,1,0,67,46890,1,Thu,Mar,14.05
14790,sbi,co.in,0,text/plain,0,0,0,0,57,686,0,Wed,Jan,15.966666666666667
14791,usebackpack,com,0,text/html,4,14,0,0,35,24726,0,Wed,Jul,5.716666666666667
14792,iiitd,ac.in,4,multipart/alternative,0,1,1,0,60,16805,2,Fri,Dec,20.666666666666668
14793,topcoder,com,0,multipart/alternative,14,63,1,1,51,77770,0,Fri,May,17.1
14794,iiitd,ac.in,0,multipart/alternative,17,102,0,1,48,58329,0,Thu,May,22.133333333333333
14795,na,na,0,text/plain,0,0,0,0,57,533,0,,May,13.816666666666666
14796,flipkartletters,com,0,multipart/alternative,27,74,0,0,37,49477,3,Sun,Nov,0.75
14797,ugcmailing,fr,0,multipart/mixed,0,0,0,0,44,4,0,Mon,Apr,22.116666666666667
14798,usebackpack,com,0,multipart/alternative,4,19,0,0,36,26941,0,Fri,Mar,8.466666666666667
14799,usebackpack,com,0,multipart/alternative,4,19,0,0,36,27529,0,Sun,Aug,17.35
14800,diux,mil,0,multipart/alternative,1,7,0,0,48,12903,0,Mon,Mar,11.4
14801,datacamp,com,0,multipart/alternative,8,77,0,1,43,74595,3,Tue,Aug,15.55
14802,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27509,0,Fri,Sep,9.55
14803,zoomgroup,com,0,multipart/alternative,2,32,1,0,119,53928,0,Thu,Apr,6.516666666666667
14804,quora,com,0,multipart/alternative,10,108,1,1,132,82390,1,Sun,Nov,8.5
14805,amazon,in,0,multipart/alternative,11,97,0,0,91,42318,3,Mon,Apr,3.5166666666666666
14806,dataquest-0740d8e6e13d,intercom-mail.com,0,multipart/alternative,4,19,0,1,44,22718,3,Tue,Jan,16.3
14807,topcoder,com,0,multipart/alternative,18,66,1,0,88,120945,3,Sat,Jun,13.116666666666667
14808,freshersworld,in,0,text/html,1,8,1,0,77,2309,0,Fri,Jun,7.55
14809,google,com,0,text/html,16,68,0,1,37,20233,0,Tue,Mar,2.3833333333333333
14810,usebackpack,com,0,multipart/alternative,4,19,0,0,38,26925,0,Sun,Sep,14.833333333333334
14811,amazon,com,0,multipart/alternative,16,111,0,1,51,84984,0,Tue,Feb,20.133333333333333
14812,flipkartletters,com,0,text/html,29,71,0,0,76,52624,3,Fri,Jul,5.416666666666667
14813,iiitd,ac.in,0,multipart/alternative,0,6,1,0,17,3039,2,Thu,Sep,9.816666666666666
14814,iiitd,ac.in,2,multipart/alternative,0,3,1,0,61,2161,2,Sun,Jan,11.7
14815,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,4.5
14816,github,com,2,multipart/alternative,0,10,0,0,34,2670,2,Sun,Jun,5.166666666666667
14817,media,ieee.org,0,multipart/alternative,9,24,0,0,105,34439,3,Thu,Nov,8.5
14818,iiitd,ac.in,0,multipart/alternative,0,9,1,0,41,16383,2,Tue,Nov,18.433333333333334
14819,iiitd,ac.in,1,multipart/alternative,0,9,1,1,21,10290,2,Wed,Jan,15.7
14820,sbi,co.in,0,text/plain,0,0,1,0,57,683,0,Thu,Aug,18.8
14821,iiitd,ac.in,4,multipart/alternative,0,1,1,0,32,22296,2,Tue,Sep,16.633333333333333
14822,usebackpack,com,0,multipart/alternative,3,19,0,0,38,27812,0,Thu,Jan,12.0
14823,google,com,0,text/html,2,12,0,0,35,4302,0,Fri,Apr,3.9
14824,nedm,asus.com,0,multipart/alternative,7,26,0,0,76,11424,0,Thu,Oct,17.166666666666668
14825,sbi,co.in,0,text/plain,0,0,0,0,57,684,0,Mon,Oct,17.566666666666666
14826,iheartdogs-email,com,0,multipart/alternative,30,142,1,1,131,34791,3,Fri,Jun,14.483333333333333
14827,mysliderule,com,0,multipart/alternative,0,14,0,1,49,9933,0,Fri,Dec,18.916666666666668
14828,topcoder,com,0,multipart/alternative,57,217,0,0,47,129565,3,Sun,Oct,2.0833333333333335
14829,slack,com,0,multipart/alternative,1,11,0,0,67,12554,0,Wed,Apr,13.916666666666666
14830,amazon,in,0,multipart/mixed,0,0,0,0,50,4,3,Mon,Oct,7.316666666666666
14831,mailer,netflix.com,0,multipart/alternative,13,60,0,0,45,40437,3,Fri,Dec,7.166666666666667
14832,kaggle,intercom-mail.com,0,multipart/alternative,2,15,0,1,48,19454,3,Thu,Apr,16.483333333333334
14833,getpostman,com,0,multipart/alternative,12,83,1,0,47,43300,3,Thu,Mar,21.083333333333332
14834,messages,xoom.com,0,multipart/alternative,9,37,1,0,30,136548,0,Thu,Apr,21.383333333333333
14835,usief,org.in,0,multipart/alternative,6,37,0,0,37,117515,0,Tue,Feb,7.2
14836,send,grammarly.com,0,multipart/alternative,32,128,0,0,32,103498,3,Mon,Aug,19.45
14837,twitter,com,0,multipart/alternative,11,86,0,0,95,40862,1,Sat,Apr,9.916666666666666
14838,github,com,0,text/plain,0,1,0,0,45,135,0,Sun,Aug,7.216666666666667
14839,piazza,com,0,multipart/related,0,0,0,0,10,4,0,Sat,Aug,10.8
14840,neo4j,com,0,multipart/alternative,10,29,0,0,52,18643,3,Thu,Aug,15.583333333333334
14841,iiitd,ac.in,0,multipart/alternative,0,4,1,0,92,5975,2,Tue,Feb,19.1
14842,localcirclesmail,com,0,multipart/alternative,4,22,0,0,74,15311,0,Tue,Dec,12.833333333333334
14843,repositoryhosting,com,0,multipart/alternative,0,7,1,0,30,82142,0,Sat,Nov,21.883333333333333
14844,quora,com,0,multipart/alternative,2,10,0,0,71,9348,0,Thu,Dec,6.533333333333333
14845,crazydomains,com,0,multipart/alternative,2,13,0,0,32,33192,0,Thu,Nov,7.733333333333333
14846,twitter,com,0,multipart/alternative,18,167,0,0,114,94159,1,Sun,Jun,8.633333333333333
14847,iiitd,ac.in,0,multipart/alternative,0,3,1,0,34,4110,2,Fri,Sep,21.516666666666666
14848,splitwise,com,0,multipart/alternative,6,25,0,0,22,26580,0,Sun,Apr,8.983333333333333
14849,connect,digitalglobe.com,0,multipart/alternative,6,29,0,0,36,35546,3,Thu,Jun,16.016666666666666
14850,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27050,0,Tue,Nov,14.516666666666667
14851,amazon,in,0,multipart/mixed,0,0,0,0,39,4,3,Wed,Nov,0.2833333333333333
14852,springboard,com,0,multipart/alternative,0,11,1,1,55,5982,0,Mon,Mar,9.166666666666666
14853,iiitd,ac.in,0,multipart/mixed,0,2,0,0,99,1798,0,Thu,Jul,8.35
14854,iiitd,ac.in,0,multipart/related,0,8,0,0,62,2004776,2,Sat,Oct,12.866666666666667
14855,successfactors,eu,0,text/html,0,11,1,0,65,2997,0,Tue,Mar,16.1
14856,researchgate,net,0,multipart/alternative,3,26,0,0,36,15379,1,Wed,Feb,5.616666666666667
14857,mapbox,com,0,multipart/alternative,4,24,0,0,34,35104,3,Tue,Jun,14.45
14858,iiitd,ac.in,0,multipart/alternative,1,2,1,0,57,4012,2,Fri,Mar,13.683333333333334
14859,indiatimes,com,0,text/html,13,65,0,0,45,27173,3,Sat,Jul,13.066666666666666
14860,mysliderule,com,0,multipart/alternative,0,22,0,1,48,35641,0,Mon,Nov,23.083333333333332
14861,usebackpack,com,0,text/html,4,14,0,0,45,24760,0,Mon,Oct,12.8
14862,topcoder,com,0,multipart/alternative,2,23,0,0,210,36448,0,Tue,Sep,22.316666666666666
14863,centralesupelec,fr,0,multipart/mixed,0,0,0,0,104,123114,2,Wed,Feb,16.0
14864,imdb,com,0,multipart/alternative,21,116,0,0,40,45292,3,Fri,Feb,23.016666666666666
14865,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,14.933333333333334
14866,google,com,0,text/html,2,12,0,0,46,4441,0,Sun,Jul,2.8333333333333335
14867,sampark,gov.in,0,text/html,20,38,0,0,38,13549,3,Fri,Aug,13.25
14868,iiitd,ac.in,3,multipart/alternative,0,8,1,0,65,12231,2,Mon,Aug,20.0
14869,iiitd,ac.in,0,multipart/alternative,0,4,0,0,73,1641,0,Thu,Jun,12.566666666666666
14870,youtube,com,0,multipart/alternative,17,63,0,0,101,47697,1,Mon,Aug,16.133333333333333
14871,amazon,in,0,multipart/alternative,5,45,0,0,96,21913,0,Mon,Sep,15.7
14872,api,ai,0,multipart/alternative,4,13,0,0,18,24284,0,Sat,Apr,10.3
14873,amazon,in,0,multipart/alternative,5,51,0,0,39,25906,0,Thu,Aug,9.95
14874,quora,com,0,multipart/alternative,8,109,0,0,107,84488,1,Thu,Nov,6.9
14875,reply,ebay.in,0,multipart/alternative,29,96,0,0,50,65446,3,Tue,Dec,11.75
14876,iiitd,ac.in,2,multipart/alternative,0,11,0,1,71,10281,2,Fri,Sep,12.933333333333334
14877,iiitd,ac.in,3,multipart/alternative,0,3,1,0,69,52426,2,Fri,Jul,18.766666666666666
14878,github,com,0,multipart/alternative,3,27,0,0,47,24506,0,Wed,Sep,9.1
14879,zoomgroup,com,0,multipart/alternative,2,16,1,0,81,43234,0,Sat,Jan,11.8
14880,iiitd,ac.in,3,multipart/mixed,0,24,0,0,15,1468463,2,Fri,Sep,17.083333333333332
14881,topcoder,com,0,multipart/alternative,7,30,0,0,69,37691,0,Thu,May,14.933333333333334
14882,mail,kotak.in,0,multipart/alternative,14,36,1,0,91,22620,3,Wed,Oct,22.35
14883,iiitd,ac.in,3,multipart/mixed,0,0,0,0,60,49935,2,Wed,Dec,17.05
14884,amazon,in,0,multipart/alternative,13,58,0,0,27,46763,0,Mon,Sep,6.066666666666666
14885,accountprotection,microsoft.com,0,multipart/alternative,0,10,0,0,33,5267,0,Thu,Jun,12.95
14886,na,na,0,multipart/alternative,0,10,1,0,86,4437,0,Tue,Sep,11.083333333333334
14887,usebackpack,com,0,multipart/alternative,4,19,0,0,36,27172,0,Thu,Mar,16.433333333333334
14888,iiitd,ac.in,0,multipart/alternative,3,3,1,0,76,10986,2,Fri,Jan,10.766666666666667
14889,amazon,in,0,multipart/alternative,2,74,1,0,55,29122,0,Wed,Oct,19.183333333333334
14890,quora,com,0,multipart/alternative,12,110,1,0,133,99808,1,Fri,Sep,2.2666666666666666
14891,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.266666666666667
14892,iiitd,ac.in,4,multipart/alternative,1,32,1,0,48,11047,2,Sat,Apr,15.966666666666667
14893,udacity,com,0,multipart/alternative,14,42,1,0,66,60514,3,Sun,Dec,10.05
14894,nvidia,com,0,multipart/alternative,15,97,0,0,66,65134,3,Thu,Oct,12.5
14895,iiitd,ac.in,3,multipart/alternative,0,0,1,0,40,161591,2,Tue,Jan,14.833333333333334
14896,google,com,0,text/html,4,20,0,0,36,6530,0,Tue,Jul,1.05
14897,signalprocessingsociety,org,0,multipart/alternative,8,53,0,0,147,86002,0,Mon,Jul,12.0
14898,usebackpack,com,0,multipart/alternative,4,19,0,0,39,27015,0,Sun,Sep,14.383333333333333
14899,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.033333333333333
14900,e-mail,microsoft.com,0,multipart/alternative,23,181,1,1,43,149595,0,Wed,Apr,16.3
14901,signalprocessingsociety,org,0,multipart/alternative,8,73,0,0,66,80631,0,Fri,May,12.0
14902,na,na,0,multipart/alternative,9,61,0,0,61,24593,0,Fri,May,11.283333333333333
14903,quora,com,0,multipart/alternative,2,14,0,0,55,10525,0,Wed,Aug,6.683333333333334
14904,iiitd,ac.in,0,multipart/alternative,0,35,1,0,38,17230,2,Thu,Sep,17.433333333333334
14905,linkedin,com,0,multipart/alternative,16,68,0,1,102,72524,1,Mon,Jul,16.05
14906,usebackpack,com,0,text/html,4,14,0,0,35,24747,0,Mon,Jul,11.65
14907,flipkartletters,com,0,multipart/alternative,10,40,0,0,60,29383,3,Mon,Dec,0.5166666666666667
14908,nvidia,com,0,multipart/alternative,20,68,0,1,51,67299,0,Thu,Oct,11.3
14909,mailer,netflix.com,0,multipart/alternative,4,31,1,0,61,25359,3,Sat,May,12.266666666666667
14910,usebackpack,com,0,text/html,4,14,0,0,36,24768,0,Thu,Mar,13.3
14911,twitter,com,0,multipart/alternative,19,128,0,0,89,72537,1,Sat,May,8.683333333333334
14912,redwolf,in,0,multipart/alternative,14,39,0,0,45,8492,3,Thu,Jul,12.933333333333334
14913,sbi,co.in,0,text/html,1,1,0,0,51,705,0,Wed,Feb,22.3
14914,nrsc,gov.in,0,multipart/alternative,0,4,1,0,32,1210,0,Fri,Apr,15.4
14915,amazon,in,0,multipart/alternative,20,123,0,0,39,55421,3,Mon,Jul,13.616666666666667
14916,reply,ebay.in,0,multipart/alternative,32,113,1,0,101,76323,3,Sun,Apr,9.15
14917,quora,com,0,multipart/alternative,8,106,0,0,62,88287,1,Sat,Dec,9.75
14918,amazon,in,0,multipart/alternative,1,18,0,0,51,13569,0,Thu,Jun,22.716666666666665
14919,google,com,0,text/html,20,85,0,0,37,25182,0,Tue,Jul,2.8833333333333333
14920,youtube,com,0,multipart/alternative,23,86,1,0,81,62722,1,Sat,Sep,0.95
14921,easychair,org,0,text/plain,0,4,1,0,29,959,0,Fri,Nov,13.783333333333333
14922,linkedin,com,0,multipart/alternative,5,29,0,0,29,23146,0,Mon,Dec,8.166666666666666
14923,iiitd,ac.in,0,multipart/alternative,0,0,1,1,54,15183,2,Mon,Oct,12.166666666666666
14924,synthia-dataset,net,0,text/html,0,54,0,0,21,12193,0,Mon,Apr,14.583333333333334
14925,usebackpack,com,0,multipart/alternative,4,19,0,0,37,27283,0,Sat,Aug,13.716666666666667
14926,usebackpack,com,0,multipart/alternative,4,19,0,0,35,26917,0,Mon,Nov,9.983333333333333
14927,linkedin,com,0,multipart/alternative,13,114,1,1,108,91942,1,Wed,Mar,1.0833333333333333
14928,twitter,com,0,multipart/alternative,11,123,0,0,62,68120,1,Mon,Mar,9.783333333333333
14929,google,com,0,text/html,20,84,0,0,36,25088,0,Tue,Jun,6.766666666666667
14930,amazon,in,0,multipart/alternative,32,172,0,0,38,78648,3,Fri,Dec,0.75
14931,youtube,com,0,multipart/alternative,26,120,0,1,85,84591,1,Tue,Apr,14.666666666666666
14932,xprize,org,0,multipart/alternative,9,39,0,0,70,73566,3,Wed,Mar,23.2
14933,springboard,com,0,multipart/alternative,0,9,0,1,38,12920,0,Thu,Jul,12.766666666666667
14934,imdb,com,0,multipart/alternative,21,104,1,0,40,71017,3,Sat,Dec,14.566666666666666
14935,nvidia,com,0,multipart/alternative,20,64,0,1,31,66562,0,Thu,Apr,12.066666666666666
14936,sampark,gov.in,0,text/html,17,43,1,0,37,37215,3,Tue,Sep,18.5
14937,usebackpack,com,0,multipart/alternative,4,19,0,0,39,27106,0,Sat,Sep,6.316666666666666
14938,flipkartletters,com,0,text/html,24,61,1,0,42,45030,3,Sun,Jun,8.366666666666667
14939,emails,evernote.com,0,multipart/alternative,2,40,0,0,56,20888,3,Tue,Jan,23.966666666666665
